System,T(K),GammaInf,Ref,1,2,3,4,5,6,
"Acetaldehyde/water","298.15","3.94","DOI 10.1007/s10822-006-9079-6",
"n-butyraldehyde/water","298.15","48.42","DOI 10.1007/s10822-006-9079-6",
"1-Heptanal/water","298.15","4188.09","DOI 10.1007/s10822-006-9079-6",
"1-Hexanal/water","298.15","812.41","DOI 10.1007/s10822-006-9079-6",
"1-Nonanal/water","298.15","75357.6","DOI 10.1007/s10822-006-9079-6",
"1-Octanal/water","298.15","8266.78","DOI 10.1007/s10822-006-9079-6",
"valeraldehyde/water","298.15","219.2","DOI 10.1007/s10822-006-9079-6",
"n-propionaldehyde/water","298.15","12.94","DOI 10.1007/s10822-006-9079-6",
n-pentane/water,283,93400,14
n-pentane/water,293,99000,14
n-pentane/water,298,104000,14
n-hexane/water,293,344000,14
n-hexane/water,298,360000,14
n-hexane/water,303,356000,14
n-hexane/water,313,333000,14
n-heptane/water,293,1900000,14
n-heptane/water,298,2000000,14
n-heptane/water,303,2110000,14
n-heptane/water,313,2320000,14
n-octane/water,293,8850000,14
n-octane/water,298,9090000,14
n-octane/water,303,7810000,14
n-decane/water,293,152000000,8
"2,2,4-Trimethylpentane/water","298.15","2597344.15","DOI 10.1007/s10822-006-9079-6",
"2,2-Dimethylbutane/water","298.15","226386.73","DOI 10.1007/s10822-006-9079-6",
"2,2-Dimethylpentane/water","298.15","1264263.12","DOI 10.1007/s10822-006-9079-6",
"neopentane/water","298.15","82454.34","DOI 10.1007/s10822-006-9079-6",
"2,3,4-Trimethylpentane/water","298.15","2757954.94","DOI 10.1007/s10822-006-9079-6",
"2,3-Dimethylbutane/water","298.15","228661.95","DOI 10.1007/s10822-006-9079-6",
"2,3-Dimethylpentane/water","298.15","1056001.33","DOI 10.1007/s10822-006-9079-6",
"2,4-Dimethylpentane/water","298.15","1302765.67","DOI 10.1007/s10822-006-9079-6",
"isopentane/water","298.15","73865.41","DOI 10.1007/s10822-006-9079-6",
"2-Methylhexane/water","298.15","2191287.88","DOI 10.1007/s10822-006-9079-6",
"2-Methylpentane/water","298.15","348014.7","DOI 10.1007/s10822-006-9079-6",
"isobutane/water","298.15","19535.72","DOI 10.1007/s10822-006-9079-6",
"3,3-Dimethylpentane/water","298.15","936589.16","DOI 10.1007/s10822-006-9079-6",
"3-Methylheptane/water","298.15","8040485.3","DOI 10.1007/s10822-006-9079-6",
"3-Methylhexane/water","298.15","1121300.8","DOI 10.1007/s10822-006-9079-6",
"3-Methylpentane/water","298.15","369534.73","DOI 10.1007/s10822-006-9079-6",
"n-Butane/water","298.15","21807.3","DOI 10.1007/s10822-006-9079-6",
"n-Decane/water","298.15","158299600.32","DOI 10.1007/s10822-006-9079-6",
"n-Heptane/water","298.15","2002686.33","DOI 10.1007/s10822-006-9079-6",
"n-Hexane/water","298.15","425066.11","DOI 10.1007/s10822-006-9079-6",
"n-Nonane/water","298.15","32281342.83","DOI 10.1007/s10822-006-9079-6",
"n-Octane/water","298.15","9065621.86","DOI 10.1007/s10822-006-9079-6",
"n-Pentane/water","298.15","94845.07","DOI 10.1007/s10822-006-9079-6",
"Propane/water","298.15","4230.18","DOI 10.1007/s10822-006-9079-6",
"1,3-Butadiene/water","298.15","4105.16","DOI 10.1007/s10822-006-9079-6",
"1,4-Pentadiene/water","298.15","6768.26","DOI 10.1007/s10822-006-9079-6",
"1,5-Hexadiene/water","298.15","26903.19","DOI 10.1007/s10822-006-9079-6",
"1,6-Heptadiene/water","298.15","120571.71","DOI 10.1007/s10822-006-9079-6",
"1-Butene/water","298.15","5064.45","DOI 10.1007/s10822-006-9079-6",
"1-Hexene/water","298.15","88432.96","DOI 10.1007/s10822-006-9079-6",
"1-Pentene/water","298.15","26370.47","DOI 10.1007/s10822-006-9079-6",
"2-Methyl propene/water","298.15","4628.55","DOI 10.1007/s10822-006-9079-6",
"2-Methyl-1,3-butadiene/water","298.15","5884.05","DOI 10.1007/s10822-006-9079-6",
"2-Methyl-1-pentene/water","298.15","59874.14","DOI 10.1007/s10822-006-9079-6",
"2-Methyl-2-butene/water","298.15","17854.31","DOI 10.1007/s10822-006-9079-6",
"Cis-2-Pentene/water","298.15","19148.89","DOI 10.1007/s10822-006-9079-6",
"3-Methyl-1-butene/water","298.15","29732.62","DOI 10.1007/s10822-006-9079-6",
"4-Methyl-1-pentene/water","298.15","97733.53","DOI 10.1007/s10822-006-9079-6",
"Propylene/water","298.15","1152.86","DOI 10.1007/s10822-006-9079-6",
"1,2,3-trichloropropane/water",293,8200,3
"1,2-dichloroethane/water",293,626,2
"1,2-dichloropropane/water",293,2320,3
"1,3-dichloropropane/water",293,2340,13
